Publisher,Games,Sales
505 Games,22,14.26
5pb,10,0.29
7G//AMES,1,0.01
Abylight,1,0.08
Ackkstudios,1,0.11
Acquire,3,0.22
Activision,89,63.39
Aerosoft,1,0.01
Alchemist,10,0.26
Alternative Software,1,0.07
Alvion,1,0.02
Aqua Plus,2,0.06
Arc System Works,3,0.1
ArtDink,1,0.02
ASCII Media Works,3,0.12
Asgard,3,0.14
Astragon,3,0.53
Asylum Entertainment,5,0.52
Atari,11,1.43
Atlus,4,0.82
Avanquest,4,0.77
Bethesda Softworks,3,8.41
Black Bean Games,8,1.2
Broccoli,1,0.02
Capcom,22,14.38
Cave,2,0.07
ChunSoft,1,0.04
City Interactive,5,1.87
Codemasters,5,2.64
Comfort,2,0.03
Compile Heart,3,0.26
Conspiracy Entertainment,4,0.23
Crave Entertainment,7,0.71
Culture Brain,1,0.02
CyberFront,6,0.11
D3Publisher,31,4.56
Daedalic,1,0.02
Deep Silver,17,2.01
Destineer,12,0.57
Devolver Digital,1,0.02
Disney Interactive Studios,35,20.5
Dorart,1,0.01
DreamCatcher Interactive,2,0.11
DTP Entertainment,7,0.41
Electronic Arts,88,81.38
Enterbrain,2,0.18
Falcom Corporation,3,0.36
Flashpoint Games,1,0.04
Focus Home Interactive,6,0.7
Foreign Media Games,9,0.63
From Software,1,0.03
Funcom,1,0.03
FuRyu,1,0.01
G.Rev,1,0.03
Game Factory,1,0.15
GameMill Entertainment,1,0.18
Ghostlight,2,0.12
GN Software,1,0.01
Graffiti,2,0.2
Griffin International,1,0.09
GSP,3,0.46
Gust,1,0.03
Hackberry,1,0.01
Home Entertainment Suppliers,2,0.06
Hudson Soft,11,1.22
Idea Factory,23,0.68
Irem Software Engineering,2,0.05
JoWood Productions,4,0.39
Just Flight,1,0.03
Kadokawa Shoten,9,0.19
Kalypso Media,5,0.31
Kamui,1,0.03
Karin Entertainment,1,0.02
Konami Digital Entertainment,68,18.55
Level 5,3,1.94
Little Orbit,2,0.15
LucasArts,5,4.08
Majesco Entertainment,10,0.88
Mamba Games,1,0.02
Marvelous Interactive,6,0.5
Mastertronic,2,0.07
Mastiff,4,1.17
Mentor Interactive,1,0.07
Microsoft Game Studios,12,49.16
Mindscape,5,0.57
MTO,1,0.02
MTV Games,8,6.63
N/A,2,0.16
Namco Bandai Games,70,16.41
Natsume,3,0.69
Neko Entertainment,2,0.18
NetRevo,1,0.02
Nexon,1,0.03
Nintendo,28,61.07
Nippon Ichi Software,9,1.06
Nobilis,1,0.14
Nordcurrent,2,0.11
Nordic Games,5,0.76
O-Games,12,0.79
Paon,1,0.02
Paradox Interactive,5,0.15
Piacci,1,0.01
PlayV,3,0.42
PopCap Games,3,0.44
PQube,6,1.02
Prototype,4,0.11
RED Entertainment,1,0.02
Reef Entertainment,1,0.12
Rising Star Games,6,0.99
Rocket Company,2,0.15
Rondomedia,2,0.04
Russel,3,0.05
Scholastic Inc.,3,0.58
Sega,39,22.89
Slitherine Software,1,0.13
SNK Playmore,2,0.04
Sony Computer Entertainment,43,34.89
SouthPeak Games,7,0.58
Spike,4,0.63
Square Enix,25,17.44
Starfish,1,0.02
Sting,1,0.03
Storm City Games,13,1.11
System Soft,2,0.02
Taito,2,0.02
Takara Tomy,4,0.22
Take-Two Interactive,35,35.84
Team17 Software,1,0.05
Tecmo Koei,19,2.42
Telegames,1,0.17
THQ,57,22.11
Tomy Corporation,1,0.13
Tradewest,3,0.11
Ubisoft,72,42.62
Ubisoft Annecy,4,1.13
UFO Interactive,5,0.56
Unknown,18,1.8
Valcon Games,1,0.01
Virtual Play Games,2,0.06
Warner Bros. Interactive Entertainment,33,15.57
XS Games,1,0.24
Yeti,4,0.11
Zoo Games,12,1.1
