Publisher,Games,Sales,Json
3DO,10,3.08,"{'Publisher':'3DO','Games':10,'Sales':3.08},"
Acclaim Entertainment,15,5.59,"{'Publisher':'Acclaim Entertainment','Games':15,'Sales':5.59},"
Activision,13,14.48,"{'Publisher':'Activision','Games':13,'Sales':14.48},"
Aruze Corp,2,0.64,"{'Publisher':'Aruze Corp','Games':2,'Sales':0.64},"
Asmik Ace Entertainment,1,0.09,"{'Publisher':'Asmik Ace Entertainment','Games':1,'Sales':0.09},"
Atari,2,4.81,"{'Publisher':'Atari','Games':2,'Sales':4.81},"
Atlus,1,0.35,"{'Publisher':'Atlus','Games':1,'Sales':0.35},"
BAM! Entertainment,1,0.11,"{'Publisher':'BAM! Entertainment','Games':1,'Sales':0.11},"
Banpresto,1,0.8,"{'Publisher':'Banpresto','Games':1,'Sales':0.8},"
Capcom,5,2.02,"{'Publisher':'Capcom','Games':5,'Sales':2.02},"
ChunSoft,1,0.37,"{'Publisher':'ChunSoft','Games':1,'Sales':0.37},"
Codemasters,2,1.02,"{'Publisher':'Codemasters','Games':2,'Sales':1.02},"
Crave Entertainment,3,2.44,"{'Publisher':'Crave Entertainment','Games':3,'Sales':2.44},"
D3Publisher,1,0.07,"{'Publisher':'D3Publisher','Games':1,'Sales':0.07},"
Eidos Interactive,9,4.56,"{'Publisher':'Eidos Interactive','Games':9,'Sales':4.56},"
Electronic Arts,31,25.13,"{'Publisher':'Electronic Arts','Games':31,'Sales':25.13},"
Empire Interactive,4,1.14,"{'Publisher':'Empire Interactive','Games':4,'Sales':1.14},"
Enix Corporation,3,5.36,"{'Publisher':'Enix Corporation','Games':3,'Sales':5.36},"
Epoch,1,0.15,"{'Publisher':'Epoch','Games':1,'Sales':0.15},"
Fox Interactive,1,0.16,"{'Publisher':'Fox Interactive','Games':1,'Sales':0.16},"
Hasbro Interactive,4,1.33,"{'Publisher':'Hasbro Interactive','Games':4,'Sales':1.33},"
Havas Interactive,1,0.13,"{'Publisher':'Havas Interactive','Games':1,'Sales':0.13},"
Hudson Soft,1,0.16,"{'Publisher':'Hudson Soft','Games':1,'Sales':0.16},"
Imagineer,1,0.27,"{'Publisher':'Imagineer','Games':1,'Sales':0.27},"
Infogrames,11,1.66,"{'Publisher':'Infogrames','Games':11,'Sales':1.66},"
Interplay,3,1,"{'Publisher':'Interplay','Games':3,'Sales':1},"
JVC,1,0.06,"{'Publisher':'JVC','Games':1,'Sales':0.06},"
Konami Digital Entertainment,31,8.47,"{'Publisher':'Konami Digital Entertainment','Games':31,'Sales':8.47},"
LucasArts,1,0.26,"{'Publisher':'LucasArts','Games':1,'Sales':0.26},"
Mattel Interactive,2,0.23,"{'Publisher':'Mattel Interactive','Games':2,'Sales':0.23},"
Media Factory,1,0.14,"{'Publisher':'Media Factory','Games':1,'Sales':0.14},"
Microsoft Game Studios,1,0.99,"{'Publisher':'Microsoft Game Studios','Games':1,'Sales':0.99},"
Midas Interactive Entertainment,7,1.09,"{'Publisher':'Midas Interactive Entertainment','Games':7,'Sales':1.09},"
Midway Games,12,4.2,"{'Publisher':'Midway Games','Games':12,'Sales':4.2},"
Mindscape,1,0.02,"{'Publisher':'Mindscape','Games':1,'Sales':0.02},"
Namco Bandai Games,14,9.7,"{'Publisher':'Namco Bandai Games','Games':14,'Sales':9.7},"
Natsume,1,0.27,"{'Publisher':'Natsume','Games':1,'Sales':0.27},"
NEC Interchannel,2,0.14,"{'Publisher':'NEC Interchannel','Games':2,'Sales':0.14},"
Nintendo,23,34.05,"{'Publisher':'Nintendo','Games':23,'Sales':34.05},"
Pony Canyon,1,0.05,"{'Publisher':'Pony Canyon','Games':1,'Sales':0.05},"
Psygnosis,1,0.12,"{'Publisher':'Psygnosis','Games':1,'Sales':0.12},"
Sega,11,3.88,"{'Publisher':'Sega','Games':11,'Sales':3.88},"
SNK,2,0.18,"{'Publisher':'SNK','Games':2,'Sales':0.18},"
Sony Computer Entertainment,32,21.69,"{'Publisher':'Sony Computer Entertainment','Games':32,'Sales':21.69},"
SquareSoft,4,6.55,"{'Publisher':'SquareSoft','Games':4,'Sales':6.55},"
Success,1,0.01,"{'Publisher':'Success','Games':1,'Sales':0.01},"
Sunrise Interactive,2,0.13,"{'Publisher':'Sunrise Interactive','Games':2,'Sales':0.13},"
Sunsoft,1,0.25,"{'Publisher':'Sunsoft','Games':1,'Sales':0.25},"
Swing! Entertainment,2,0.18,"{'Publisher':'Swing! Entertainment','Games':2,'Sales':0.18},"
Take-Two Interactive,6,6.03,"{'Publisher':'Take-Two Interactive','Games':6,'Sales':6.03},"
TDK Core,1,0.18,"{'Publisher':'TDK Core','Games':1,'Sales':0.18},"
Tecmo Koei,10,1.87,"{'Publisher':'Tecmo Koei','Games':10,'Sales':1.87},"
The Learning Company,1,0.05,"{'Publisher':'The Learning Company','Games':1,'Sales':0.05},"
THQ,15,15.86,"{'Publisher':'THQ','Games':15,'Sales':15.86},"
Titus,2,0.08,"{'Publisher':'Titus','Games':2,'Sales':0.08},"
Ubisoft,21,4.75,"{'Publisher':'Ubisoft','Games':21,'Sales':4.75},"
Vatical Entertainment,2,0.22,"{'Publisher':'Vatical Entertainment','Games':2,'Sales':0.22},"
Victor Interactive,1,0.18,"{'Publisher':'Victor Interactive','Games':1,'Sales':0.18},"
Video System,1,0.11,"{'Publisher':'Video System','Games':1,'Sales':0.11},"
Virgin Interactive,6,2.55,"{'Publisher':'Virgin Interactive','Games':6,'Sales':2.55},"
Vivendi Games,1,0.1,"{'Publisher':'Vivendi Games','Games':1,'Sales':0.1},"
